zip,smoking_RR,diabetes_RR
1910,0.766304348,0.976744186
1913,0.766304348,0.976744186
1915,0.766304348,0.976744186
1921,0.766304348,0.976744186
1922,0.766304348,0.976744186
1923,0.766304348,0.976744186
1929,0.766304348,0.976744186
1930,0.766304348,0.976744186
1931,0.766304348,0.976744186
1936,0.766304348,0.976744186
1937,0.766304348,0.976744186
1938,0.766304348,0.976744186
1940,0.766304348,0.976744186
1944,0.766304348,0.976744186
1945,0.766304348,0.976744186
1949,0.766304348,0.976744186
1950,0.766304348,0.976744186
1951,0.766304348,0.976744186
1952,0.766304348,0.976744186
1960,0.766304348,0.976744186
1961,0.766304348,0.976744186
1965,0.766304348,0.976744186
1966,0.766304348,0.976744186
1969,0.766304348,0.976744186
1970,0.766304348,0.976744186
1971,0.766304348,0.976744186
1982,0.766304348,0.976744186
1983,0.766304348,0.976744186
1984,0.766304348,0.976744186
1985,0.766304348,0.976744186
2018,0.766304348,0.790697674
2019,0.641304348,0.837209302
2020,0.766304348,0.790697674
2021,0.641304348,0.837209302
2025,0.641304348,0.837209302
2026,0.641304348,0.837209302
2027,0.641304348,0.837209302
2030,0.641304348,0.837209302
2031,1.10326087,1.186046512
2032,0.641304348,0.837209302
2035,0.641304348,0.837209302
2038,0.641304348,0.837209302
2040,0.766304348,0.790697674
2041,0.766304348,0.790697674
2043,0.766304348,0.790697674
2044,0.766304348,0.790697674
2045,0.766304348,0.790697674
2047,0.766304348,0.790697674
2048,1.10326087,1.186046512
2050,0.766304348,0.790697674
2051,0.766304348,0.790697674
2052,0.641304348,0.837209302
2053,0.641304348,0.837209302
2054,0.641304348,0.837209302
2055,0.766304348,0.790697674
2056,0.641304348,0.837209302
2059,0.766304348,0.790697674
2060,0.766304348,0.790697674
2061,0.766304348,0.790697674
2062,0.641304348,0.837209302
2065,0.766304348,0.790697674
2066,0.766304348,0.790697674
2067,0.641304348,0.837209302
2070,0.641304348,0.837209302
2071,0.641304348,0.837209302
2072,0.641304348,0.837209302
2081,0.641304348,0.837209302
2090,0.641304348,0.837209302
2093,0.641304348,0.837209302
2108,0.836956522,0.872093023
2109,0.836956522,0.872093023
2110,0.836956522,0.872093023
2111,0.836956522,0.872093023
2112,0.836956522,0.872093023
2113,0.836956522,0.872093023
2114,0.836956522,0.872093023
2115,0.836956522,0.872093023
2116,0.836956522,0.872093023
2117,0.836956522,0.872093023
2118,0.836956522,0.872093023
2119,0.836956522,0.872093023
2120,0.836956522,0.872093023
2121,0.836956522,0.872093023
2122,0.836956522,0.872093023
2123,0.836956522,0.872093023
2124,0.836956522,0.872093023
2125,0.836956522,0.872093023
2126,0.836956522,0.872093023
2127,0.836956522,0.872093023
2128,0.836956522,0.872093023
2129,0.836956522,0.872093023
2130,0.836956522,0.872093023
2131,0.836956522,0.872093023
2132,0.836956522,0.872093023
2133,0.836956522,0.872093023
2134,0.836956522,0.872093023
2135,0.836956522,0.872093023
2136,0.836956522,0.872093023
2137,0.836956522,0.872093023
2138,0.815217391,0.76744186
2139,0.815217391,0.76744186
2140,0.815217391,0.76744186
2141,0.815217391,0.76744186
2142,0.815217391,0.76744186
2143,0.815217391,0.76744186
2144,0.815217391,0.76744186
2145,0.815217391,0.76744186
2148,0.815217391,0.76744186
2149,0.815217391,0.76744186
2150,0.836956522,0.872093023
2151,0.836956522,0.872093023
2152,0.836956522,0.872093023
2153,0.815217391,0.76744186
2155,0.815217391,0.76744186
2156,0.815217391,0.76744186
2163,0.836956522,0.872093023
2169,0.641304348,0.837209302
2170,0.641304348,0.837209302
2171,0.641304348,0.837209302
2176,0.815217391,0.76744186
2180,0.815217391,0.76744186
2184,0.641304348,0.837209302
2185,0.641304348,0.837209302
2186,0.641304348,0.837209302
2187,0.641304348,0.837209302
2188,0.641304348,0.837209302
2189,0.641304348,0.837209302
2190,0.641304348,0.837209302
2191,0.641304348,0.837209302
2196,0.836956522,0.872093023
2199,0.836956522,0.872093023
2201,0.836956522,0.872093023
2203,0.836956522,0.872093023
2204,0.836956522,0.872093023
2205,0.836956522,0.872093023
2206,0.836956522,0.872093023
2207,0.836956522,0.872093023
2210,0.836956522,0.872093023
2211,0.836956522,0.872093023
2212,0.836956522,0.872093023
2215,0.836956522,0.872093023
2216,0.836956522,0.872093023
2217,0.836956522,0.872093023
